,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
Open,1757.0,118.18176822307625,47.24273573304439,48.87887354839238,75.14422148908551,116.22985211462537,146.16240684047588,291.67999267578125,0.6565276516824303,0.3496996289807641
High,1757.0,119.54218635654767,47.76173099410265,50.259351542269236,75.77485771590666,117.76725468629267,147.54188437232324,292.010009765625,0.6581426500609127,0.3632582387586556
Low,1757.0,116.90497166580003,46.73291571791803,48.54815439257294,74.43661295234298,115.2396829127405,144.64984548921163,287.32000732421875,0.6544348577083927,0.33228702466615134
Close,1757.0,118.26746070961688,47.28565799688405,48.89625549316406,75.15116119384766,116.66534423828125,146.0228271484375,291.30999755859375,0.6612529643843466,0.36247066224513125
Volume,1757.0,33180766.07854297,14810297.002950436,9312000.0,23694000.0,29591200.0,37534000.0,133178000.0,2.2460438171975414,7.544310517769139
