,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
Open,1255.0,175.55644100791565,38.04373103444135,110.885966009348,144.8318348707555,170.04794519039626,204.0204503528616,276.721738255342,0.4794288242668789,-0.6921050145323524
High,1255.0,177.47687799832926,38.32337040128226,112.77445860760254,146.15621900510115,171.77927819729268,206.86859889677453,277.05143573891627,0.4794030981367048,-0.6889867858331007
Low,1255.0,173.81303757535238,37.803466283029074,109.60100171666315,143.11332139485694,168.621757476322,200.82041500409122,272.0899963378906,0.4762569532227291,-0.6920413799370131
Close,1255.0,175.7348202830767,38.10422327542265,110.82754516601562,144.8729705810547,170.50033569335938,203.20716857910156,275.25,0.47827647387207906,-0.6897848992380897
Volume,1255.0,71272336.65338646,30320125.219135594,23234700.0,49149250.0,64710600.0,86389550.0,318679900.0,1.6794940793265363,5.4938765637230444
