,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
Open,1757.0,282.01114114258,115.36045446736833,89.18404457906475,199.1767719229634,270.53015226795435,381.8899648927027,554.3187056451394,0.2683575330888621,-0.8532551231689287
High,1757.0,284.67167596498126,116.04231016606819,91.83688633141723,201.52593705627382,274.3766172336164,387.77945533191945,554.5383762548963,0.2589284808938153,-0.8592215610365734
Low,1757.0,279.2180405360222,114.5100655447112,88.0779146600482,196.21405575598746,267.89627546044187,378.19284770158055,540.77001953125,0.27286176177642285,-0.8556993393404722
Close,1757.0,282.07308237838964,115.29013816570506,88.23727416992188,198.9929962158203,270.9323425292969,384.4665832519531,542.0700073242188,0.2645493073694629,-0.8619721217404499
Volume,1757.0,27500622.310756974,12194509.948885886,7164500.0,19633400.0,24364300.0,31514400.0,111242100.0,2.1549381976425943,6.844901109940594
