,MSE,RMSE,MAE,MAPE,R2
LINEAR_REGRESSION,0.749690196457178,0.8658465201507586,0.6794443356208777,0.0030781399106788354,0.9984541120589605
LASSO,17.73943355519593,4.211820693618845,3.7358466986994774,0.016124046733376463,0.9634206549005948
ARIMA,485.38480923247187,22.031450456846272,18.63345594988119,0.08249250970198467,-0.0008807996985353839
RANDOM_FOREST,1541.1360791295904,39.257306060523184,32.97333514835803,0.1371556660334566,-2.177877597287398
GRADIENT_BOOSTING,1545.726081725477,39.31572308536976,32.95690116464551,0.13702942764004525,-2.1873423464542574
SVR,5079.9566462260545,71.27381459011475,65.22764845779973,0.2771776378489364,-9.475051904793888
LSTM_5d,45807.8911406811,214.0277812357104,212.8430833861302,0.9445789929627376,-89.5609070945706
LSTM_1d,46419.55980925152,215.4519895690256,214.28486339727306,0.9498319432301273,-91.66243746321466
